metrica,filtrado,tipo,archivo,n_nodos,n_aristas,densidad,n_componentes,tamano_componente_principal,grado_medio,desviacion_grado,clustering_medio,n_comunidades,modularidad,longitud_media_camino,diametro
braycurtis,knn,almuerzo_cena,grafo_braycurtis_knn_almuerzo_cena.gpickle,2173,9491,0.0040218180770361855,1,2173,8.735388863322596,1.6106023255559652,0.5215740646264996,13,0.7957164842709465,12.397281130634719,31.0
braycurtis,knn,bebida_desayuno,grafo_braycurtis_knn_bebida_desayuno.gpickle,96,424,0.09298245614035087,1,96,8.833333333333334,1.711886548681178,0.7204282985532986,6,0.7567074399097685,5.212719298245614,13.0
braycurtis,knn,bebidas,grafo_braycurtis_knn_bebidas.gpickle,67,302,0.13658977838082315,1,67,9.014925373134329,1.5692239484538146,0.6942636965025024,4,0.5839623176251736,3.8299412030755313,10.0
braycurtis,knn,desayuno,grafo_braycurtis_knn_desayuno.gpickle,556,2490,0.016138440598872254,1,556,8.956834532374101,1.730473813758093,0.5488078386089389,8,0.770878691697411,10.115859744636722,27.0
braycurtis,knn_doble,almuerzo_cena,grafo_braycurtis_knn_doble_almuerzo_cena.gpickle,2173,8334,0.003531538494786595,15,2129,7.670501610676484,2.1601843201303725,0.5281788033513758,30,0.845012536660291,16.076035556246183,42.0
braycurtis,knn_doble,bebida_desayuno,grafo_braycurtis_knn_doble_bebida_desayuno.gpickle,96,352,0.07719298245614035,7,42,7.333333333333333,2.6757657263337205,0.7338458994708995,9,0.7973551136051005,3.645760743321719,10.0
braycurtis,knn_doble,bebidas,grafo_braycurtis_knn_doble_bebidas.gpickle,67,229,0.10357304387155133,1,67,6.835820895522388,2.2566453435858183,0.6486377635631366,3,0.5436775048995975,5.064676616915423,16.0
braycurtis,knn_doble,desayuno,grafo_braycurtis_knn_doble_desayuno.gpickle,556,2064,0.01337740618316158,6,549,7.424460431654676,2.3801590457292385,0.5624414753911157,16,0.8124001578219714,17.13344102748195,50.0
braycurtis,knn_doble,snacks,grafo_braycurtis_knn_doble_snacks.gpickle,287,1059,0.02580346482785507,6,275,7.379790940766551,2.5207174933008485,0.5919805320502185,14,0.8014817732405867,16.729130723291306,50.0
braycurtis,knn,snacks,grafo_braycurtis_knn_snacks.gpickle,287,1284,0.03128578738334836,1,287,8.94773519163763,1.6925909749913521,0.5783483744285137,6,0.7595839847109191,10.201042859579445,23.0
braycurtis,umbral,almuerzo_cena,grafo_braycurtis_umbral_almuerzo_cena.gpickle,2173,222392,0.09423876997031203,3,2171,204.68660837551772,122.6721534782042,0.6594537941286891,7,0.4327704090503854,3.5505874461640348,15.0
braycurtis,umbral,bebida_desayuno,grafo_braycurtis_umbral_bebida_desayuno.gpickle,96,548,0.12017543859649123,14,55,11.416666666666666,7.836435555928615,0.7190469225466106,16,0.585264092884656,2.0868686868686868,5.0
braycurtis,umbral,bebidas,grafo_braycurtis_umbral_bebidas.gpickle,67,288,0.13025780189959293,9,53,8.597014925373134,6.736090591913368,0.6584627240407934,13,0.4372667312362333,3.356313497822932,10.0
braycurtis,umbral,desayuno,grafo_braycurtis_umbral_desayuno.gpickle,556,28498,0.1847041285890207,7,545,102.51079136690647,62.958318620706514,0.7455707986577078,8,0.33299115169390914,3.7951969778737182,12.0
